Task Type,Duration (hrs),Priority,Location,Preferred Time of Day,Day of Week,Special Dates,Scheduled Time,Slot Adjustment
Social,1.0,High,Various,Afternoon,Wednesday,Birthday,11:00 AM,Moved Earlier
Social,1.5,High,Home Office,Afternoon,Saturday,None,6:00 PM,Moved Earlier
Errands,3.0,High,Office,Morning,Tuesday,Holiday,6:00 PM,Moved Later
Exercise,2.0,Low,Gym,Morning,Wednesday,Birthday,10:00 AM,Moved Earlier
Deep Work,1.0,High,Office,Evening,Sunday,None,3:00 PM,Moved Later
Deep Work,1.5,High,Home Office,Afternoon,Friday,Holiday,9:00 AM,Moved Earlier
Deep Work,2.0,High,Various,Morning,Saturday,Birthday,2:00 PM,No Change
Social,2.0,High,Home Office,Morning,Thursday,Anniversary,2:00 PM,Moved Earlier
Social,1.0,High,Gym,Evening,Tuesday,None,11:00 AM,Moved Earlier
Exercise,0.5,High,Cafe,Evening,Saturday,None,10:00 AM,Moved Later
Deep Work,1.0,Low,Office,Evening,Sunday,Birthday,10:00 AM,Moved Later
Deep Work,1.5,High,Various,Morning,Monday,Birthday,5:00 PM,Moved Later
Errands,2.0,Medium,Cafe,Morning,Tuesday,None,1:00 PM,Moved Earlier
Social,1.0,High,Home Office,Evening,Sunday,Anniversary,3:00 PM,Moved Earlier
Deep Work,0.5,High,Various,Afternoon,Saturday,Anniversary,1:00 PM,No Change
Exercise,1.0,Low,Cafe,Evening,Monday,Holiday,3:00 PM,Moved Earlier
Exercise,3.0,Low,Various,Evening,Tuesday,Birthday,12:00 PM,No Change
Deep Work,0.5,Medium,Gym,Evening,Monday,Anniversary,4:00 PM,Moved Later
Social,1.5,Medium,Gym,Evening,Monday,Holiday,6:00 PM,Moved Later
Exercise,2.0,Low,Office,Morning,Tuesday,Anniversary,6:00 PM,Moved Later
Errands,1.0,Low,Office,Afternoon,Tuesday,Birthday,3:00 PM,No Change
Exercise,0.5,High,Gym,Evening,Monday,Holiday,6:00 PM,Moved Earlier
Meeting,3.0,Low,Various,Afternoon,Sunday,Holiday,1:00 PM,Moved Later
Meeting,0.5,Medium,Gym,Afternoon,Friday,Holiday,2:00 PM,Moved Earlier
Social,3.0,High,Office,Afternoon,Tuesday,Anniversary,1:00 PM,Moved Earlier
Deep Work,1.5,Medium,Gym,Evening,Saturday,Birthday,3:00 PM,Moved Later
